enemy_distance,enemy_angle,edge_distance,center_distance,enemy_stuck,enemy_behind,skill_ready,dash_ready,situation,category,round,strategy
0.75,-172.7,4.25,4.21,1,0,1,0,"Enemy is 0.75 meters ahead, angle -172.7 degrees, edge distance 4.25, center distance 4.21, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,5,boost
1.02,-26.4,2.15,2.0,1,1,0,0,"Enemy is 1.02 meters ahead, angle -26.4 degrees, edge distance 2.15, center distance 2.0, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",simulation,4,dash
1.62,123.3,4.57,0.11,1,0,0,0,"Enemy is 1.62 meters ahead, angle 123.3 degrees, edge distance 4.57, center distance 0.11, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,2,turn_left_45+accelerate
0.69,-171.8,2.29,1.71,0,0,1,0,"Enemy is 0.69 meters ahead, angle -171.8 degrees, edge distance 2.29, center distance 1.71, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,3,turn_right_15+dash+accelerate
1.56,128.0,2.76,1.02,1,1,0,0,"Enemy is 1.56 meters ahead, angle 128.0 degrees, edge distance 2.76, center distance 1.02, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",simulation,2,turn_right_15+accelerate
2.27,69.0,4.15,3.67,1,0,0,0,"Enemy is 2.27 meters ahead, angle 69.0 degrees, edge distance 4.15, center distance 3.67, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",simulation,5,turn_right_45+accelerate
0.99,-17.6,3.79,4.67,0,1,0,0,"Enemy is 0.99 meters ahead, angle -17.6 degrees, edge distance 3.79, center distance 4.67, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,2,turn_right_15+accelerate
1.36,34.1,3.42,2.62,0,1,1,0,"Enemy is 1.36 meters ahead, angle 34.1 degrees, edge distance 3.42, center distance 2.62, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",practice,5,turn_left_15+dash+accelerate
0.22,112.6,1.86,0.81,1,1,0,1,"Enemy is 0.22 meters ahead, angle 112.6 degrees, edge distance 1.86, center distance 0.81, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",practice,1,turn_left_15+accelerate
1.94,119.8,1.75,1.27,0,1,1,0,"Enemy is 1.94 meters ahead, angle 119.8 degrees, edge distance 1.75, center distance 1.27, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",simulation,4,turn_right_90+accelerate
0.84,-67.7,0.89,1.2,1,0,0,1,"Enemy is 0.84 meters ahead, angle -67.7 degrees, edge distance 0.89, center distance 1.2, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,3,turn_left_45+accelerate
0.42,172.3,0.12,3.1,1,0,0,1,"Enemy is 0.42 meters ahead, angle 172.3 degrees, edge distance 0.12, center distance 3.1, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",practice,3,turn_left_45+dash+accelerate
0.83,-132.9,4.16,1.17,1,0,0,0,"Enemy is 0.83 meters ahead, angle -132.9 degrees, edge distance 4.16, center distance 1.17, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",simulation,2,turn_left_45+accelerate
1.81,-82.5,0.62,0.42,0,1,0,0,"Enemy is 1.81 meters ahead, angle -82.5 degrees, edge distance 0.62, center distance 0.42, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",simulation,4,turn_left_90+accelerate
1.25,130.2,3.67,2.58,0,1,1,1,"Enemy is 1.25 meters ahead, angle 130.2 degrees, edge distance 3.67, center distance 2.58, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",tournament,1,turn_right_45+accelerate
1.2,21.9,1.69,4.08,1,0,0,1,"Enemy is 1.2 meters ahead, angle 21.9 degrees, edge distance 1.69, center distance 4.08, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,3,turn_right_15
0.7,61.2,4.82,2.34,0,1,0,1,"Enemy is 0.7 meters ahead, angle 61.2 degrees, edge distance 4.82, center distance 2.34, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",practice,5,turn_left_90+accelerate
0.54,-42.2,2.97,3.4,0,1,0,0,"Enemy is 0.54 meters ahead, angle -42.2 degrees, edge distance 2.97, center distance 3.4, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",practice,4,turn_left_45+accelerate
1.92,85.3,4.92,0.22,1,0,0,1,"Enemy is 1.92 meters ahead, angle 85.3 degrees, edge distance 4.92, center distance 0.22, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,2,turn_right_15+accelerate
0.24,-74.6,0.62,4.76,1,1,1,0,"Enemy is 0.24 meters ahead, angle -74.6 degrees, edge distance 0.62, center distance 4.76, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,5,turn_left_45+accelerate
2.27,75.3,2.19,4.36,1,0,0,1,"Enemy is 2.27 meters ahead, angle 75.3 degrees, edge distance 2.19, center distance 4.36, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",practice,4,turn_right_45+accelerate
1.03,166.4,1.91,2.38,0,0,1,1,"Enemy is 1.03 meters ahead, angle 166.4 degrees, edge distance 1.91, center distance 2.38, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",practice,4,turn_left_90
2.21,134.6,4.24,0.59,1,1,1,1,"Enemy is 2.21 meters ahead, angle 134.6 degrees, edge distance 4.24, center distance 0.59, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",tournament,1,turn_right_90+accelerate
0.76,142.4,3.38,2.26,1,0,0,1,"Enemy is 0.76 meters ahead, angle 142.4 degrees, edge distance 3.38, center distance 2.26, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",practice,3,turn_left_90+accelerate
0.83,45.9,2.29,0.04,1,0,1,1,"Enemy is 0.83 meters ahead, angle 45.9 degrees, edge distance 2.29, center distance 0.04, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",simulation,3,turn_right_45+accelerate
1.51,20.8,0.23,1.98,1,0,0,0,"Enemy is 1.51 meters ahead, angle 20.8 degrees, edge distance 0.23, center distance 1.98, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,2,turn_right_90+accelerate+boost
0.95,78.6,1.03,0.87,1,1,0,1,"Enemy is 0.95 meters ahead, angle 78.6 degrees, edge distance 1.03, center distance 0.87, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",tournament,5,turn_left_90+accelerate
1.81,-92.0,1.06,4.66,1,1,1,0,"Enemy is 1.81 meters ahead, angle -92.0 degrees, edge distance 1.06, center distance 4.66, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,3,turn_right_15+accelerate
0.4,-146.9,4.19,1.38,1,0,1,1,"Enemy is 0.4 meters ahead, angle -146.9 degrees, edge distance 4.19, center distance 1.38, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",tournament,3,turn_left_90+accelerate
0.3,-171.7,3.89,1.96,1,0,0,0,"Enemy is 0.3 meters ahead, angle -171.7 degrees, edge distance 3.89, center distance 1.96, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",tournament,4,turn_left_45+accelerate
2.01,-53.0,3.46,3.54,1,1,1,0,"Enemy is 2.01 meters ahead, angle -53.0 degrees, edge distance 3.46, center distance 3.54, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,3,turn_left_45+accelerate
1.1,6.9,4.3,1.05,1,1,0,0,"Enemy is 1.1 meters ahead, angle 6.9 degrees, edge distance 4.3, center distance 1.05, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",tournament,3,dash
0.49,-41.9,3.8,4.45,1,0,1,0,"Enemy is 0.49 meters ahead, angle -41.9 degrees, edge distance 3.8, center distance 4.45, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,5,turn_right_15+accelerate
1.35,18.7,3.77,4.12,0,0,1,1,"Enemy is 1.35 meters ahead, angle 18.7 degrees, edge distance 3.77, center distance 4.12, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",simulation,1,turn_right_15
1.55,-179.9,4.94,3.5,1,0,0,1,"Enemy is 1.55 meters ahead, angle -179.9 degrees, edge distance 4.94, center distance 3.5, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",practice,2,stay
0.34,87.7,2.11,1.24,1,1,0,1,"Enemy is 0.34 meters ahead, angle 87.7 degrees, edge distance 2.11, center distance 1.24, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",simulation,2,turn_right_15+accelerate
1.68,92.5,2.7,4.22,0,1,1,1,"Enemy is 1.68 meters ahead, angle 92.5 degrees, edge distance 2.7, center distance 4.22, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",simulation,2,turn_left_45+accelerate
1.7,-108.2,3.02,1.89,1,1,0,1,"Enemy is 1.7 meters ahead, angle -108.2 degrees, edge distance 3.02, center distance 1.89, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",practice,4,turn_right_90+accelerate
0.54,161.8,4.49,4.93,1,1,1,0,"Enemy is 0.54 meters ahead, angle 161.8 degrees, edge distance 4.49, center distance 4.93, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,4,boost
2.26,67.3,0.65,0.51,1,0,1,1,"Enemy is 2.26 meters ahead, angle 67.3 degrees, edge distance 0.65, center distance 0.51, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",practice,3,turn_left_90+dash+accelerate
1.22,28.2,1.33,4.53,0,1,1,0,"Enemy is 1.22 meters ahead, angle 28.2 degrees, edge distance 1.33, center distance 4.53, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",practice,4,dash
0.43,-71.6,2.71,2.03,0,1,0,1,"Enemy is 0.43 meters ahead, angle -71.6 degrees, edge distance 2.71, center distance 2.03, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",simulation,1,turn_right_90+accelerate
0.36,9.8,0.83,3.19,1,1,1,1,"Enemy is 0.36 meters ahead, angle 9.8 degrees, edge distance 0.83, center distance 3.19, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",simulation,4,boost
1.47,-106.1,1.47,4.49,0,0,1,0,"Enemy is 1.47 meters ahead, angle -106.1 degrees, edge distance 1.47, center distance 4.49, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",practice,5,turn_left_90+accelerate
0.73,-114.3,1.4,2.44,0,0,1,0,"Enemy is 0.73 meters ahead, angle -114.3 degrees, edge distance 1.4, center distance 2.44, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,5,turn_right_15+accelerate
1.32,144.8,4.99,4.48,1,0,0,0,"Enemy is 1.32 meters ahead, angle 144.8 degrees, edge distance 4.99, center distance 4.48, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,4,turn_left_45+accelerate
2.09,131.2,3.28,1.07,0,1,1,1,"Enemy is 2.09 meters ahead, angle 131.2 degrees, edge distance 3.28, center distance 1.07, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",practice,3,turn_left_45+accelerate
0.2,42.8,3.83,3.96,1,0,1,0,"Enemy is 0.2 meters ahead, angle 42.8 degrees, edge distance 3.83, center distance 3.96, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,2,turn_right_15+accelerate
2.14,-113.8,3.14,4.92,0,1,1,1,"Enemy is 2.14 meters ahead, angle -113.8 degrees, edge distance 3.14, center distance 4.92, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",simulation,3,turn_right_90+accelerate
1.31,-164.8,1.11,0.61,0,1,0,0,"Enemy is 1.31 meters ahead, angle -164.8 degrees, edge distance 1.11, center distance 0.61, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",simulation,2,turn_left_90
0.45,25.0,4.49,3.1,0,0,0,0,"Enemy is 0.45 meters ahead, angle 25.0 degrees, edge distance 4.49, center distance 3.1, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",simulation,2,turn_right_90+dash+accelerate
2.1,100.7,2.53,4.81,0,1,0,0,"Enemy is 2.1 meters ahead, angle 100.7 degrees, edge distance 2.53, center distance 4.81, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",simulation,2,turn_left_15+accelerate
2.26,-149.6,1.66,2.33,1,0,0,1,"Enemy is 2.26 meters ahead, angle -149.6 degrees, edge distance 1.66, center distance 2.33, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,1,turn_right_90+accelerate
0.16,70.1,3.71,4.43,1,0,1,0,"Enemy is 0.16 meters ahead, angle 70.1 degrees, edge distance 3.71, center distance 4.43, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,3,turn_right_90+accelerate
1.03,-64.2,3.09,1.26,1,1,1,0,"Enemy is 1.03 meters ahead, angle -64.2 degrees, edge distance 3.09, center distance 1.26, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",simulation,1,turn_right_15+accelerate
0.2,47.2,0.94,4.5,0,0,0,1,"Enemy is 0.2 meters ahead, angle 47.2 degrees, edge distance 0.94, center distance 4.5, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",practice,2,turn_left_45+accelerate
1.45,-58.1,3.83,4.25,0,1,1,0,"Enemy is 1.45 meters ahead, angle -58.1 degrees, edge distance 3.83, center distance 4.25, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",simulation,4,turn_right_45+accelerate
1.23,-65.4,0.9,0.12,0,1,0,1,"Enemy is 1.23 meters ahead, angle -65.4 degrees, edge distance 0.9, center distance 0.12, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",simulation,3,turn_left_15+accelerate
0.6,83.2,1.47,2.68,1,0,0,1,"Enemy is 0.6 meters ahead, angle 83.2 degrees, edge distance 1.47, center distance 2.68, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",simulation,3,turn_left_45+accelerate
0.15,-108.2,1.86,1.92,0,0,1,0,"Enemy is 0.15 meters ahead, angle -108.2 degrees, edge distance 1.86, center distance 1.92, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",practice,1,turn_left_90+accelerate
2.26,146.6,3.37,0.69,0,0,1,0,"Enemy is 2.26 meters ahead, angle 146.6 degrees, edge distance 3.37, center distance 0.69, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,4,turn_left_90+accelerate
0.71,-130.3,1.74,3.64,0,1,1,0,"Enemy is 0.71 meters ahead, angle -130.3 degrees, edge distance 1.74, center distance 3.64, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",practice,4,turn_left_15+accelerate
0.19,-169.4,0.56,3.7,1,1,0,1,"Enemy is 0.19 meters ahead, angle -169.4 degrees, edge distance 0.56, center distance 3.7, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",simulation,3,turn_right_90+dash+accelerate
1.87,106.2,4.08,4.57,0,0,0,0,"Enemy is 1.87 meters ahead, angle 106.2 degrees, edge distance 4.08, center distance 4.57, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",tournament,3,turn_right_45+accelerate
0.93,21.9,3.62,2.16,0,1,1,1,"Enemy is 0.93 meters ahead, angle 21.9 degrees, edge distance 3.62, center distance 2.16, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",practice,1,stay
0.22,-106.1,3.46,3.7,0,1,0,1,"Enemy is 0.22 meters ahead, angle -106.1 degrees, edge distance 3.46, center distance 3.7, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",practice,4,turn_left_45+accelerate
0.64,104.7,2.34,0.38,1,0,0,1,"Enemy is 0.64 meters ahead, angle 104.7 degrees, edge distance 2.34, center distance 0.38, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",simulation,1,turn_left_15+accelerate
0.52,-84.8,0.2,0.69,0,1,0,0,"Enemy is 0.52 meters ahead, angle -84.8 degrees, edge distance 0.2, center distance 0.69, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",practice,4,turn_right_90+accelerate
1.78,-109.6,0.69,4.26,1,1,0,1,"Enemy is 1.78 meters ahead, angle -109.6 degrees, edge distance 0.69, center distance 4.26, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",tournament,4,turn_right_90+dash+accelerate
1.99,85.1,2.17,2.18,0,1,0,0,"Enemy is 1.99 meters ahead, angle 85.1 degrees, edge distance 2.17, center distance 2.18, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,3,turn_right_45+accelerate
1.69,13.4,2.49,4.08,1,0,1,1,"Enemy is 1.69 meters ahead, angle 13.4 degrees, edge distance 2.49, center distance 4.08, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",simulation,5,boost
1.04,59.3,0.83,1.05,1,0,0,1,"Enemy is 1.04 meters ahead, angle 59.3 degrees, edge distance 0.83, center distance 1.05, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,4,turn_right_15+accelerate
1.15,-99.7,0.39,3.14,1,1,1,0,"Enemy is 1.15 meters ahead, angle -99.7 degrees, edge distance 0.39, center distance 3.14, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",simulation,5,turn_right_45+accelerate
1.07,34.6,0.99,4.78,0,1,1,0,"Enemy is 1.07 meters ahead, angle 34.6 degrees, edge distance 0.99, center distance 4.78, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",tournament,3,turn_left_15+dash+accelerate
1.97,6.7,4.99,4.55,0,1,1,1,"Enemy is 1.97 meters ahead, angle 6.7 degrees, edge distance 4.99, center distance 4.55, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",tournament,2,turn_right_90
2.35,5.0,4.33,3.73,1,1,1,0,"Enemy is 2.35 meters ahead, angle 5.0 degrees, edge distance 4.33, center distance 3.73, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",simulation,3,boost
0.73,121.8,4.68,4.04,1,1,1,0,"Enemy is 0.73 meters ahead, angle 121.8 degrees, edge distance 4.68, center distance 4.04, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",simulation,5,turn_right_15+accelerate
1.09,75.5,3.13,4.92,0,1,1,0,"Enemy is 1.09 meters ahead, angle 75.5 degrees, edge distance 3.13, center distance 4.92, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",practice,3,turn_right_45+accelerate
0.33,114.4,3.62,2.36,0,1,0,0,"Enemy is 0.33 meters ahead, angle 114.4 degrees, edge distance 3.62, center distance 2.36, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",simulation,3,turn_left_15+accelerate
2.24,165.7,0.64,2.55,1,1,1,0,"Enemy is 2.24 meters ahead, angle 165.7 degrees, edge distance 0.64, center distance 2.55, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,2,boost
2.3,-116.2,4.1,3.31,1,0,1,0,"Enemy is 2.3 meters ahead, angle -116.2 degrees, edge distance 4.1, center distance 3.31, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,3,turn_right_90+accelerate
1.4,170.3,3.84,0.92,0,0,0,0,"Enemy is 1.4 meters ahead, angle 170.3 degrees, edge distance 3.84, center distance 0.92, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",practice,1,turn_right_15+dash+accelerate
1.4,-122.5,2.03,1.14,1,0,1,0,"Enemy is 1.4 meters ahead, angle -122.5 degrees, edge distance 2.03, center distance 1.14, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,4,turn_right_15+accelerate
2.04,-70.1,3.75,2.18,0,0,1,0,"Enemy is 2.04 meters ahead, angle -70.1 degrees, edge distance 3.75, center distance 2.18, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",practice,1,turn_left_90+accelerate
1.89,154.5,2.3,3.15,1,1,0,0,"Enemy is 1.89 meters ahead, angle 154.5 degrees, edge distance 2.3, center distance 3.15, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",tournament,2,turn_right_45+accelerate
1.84,125.7,1.92,0.71,1,0,0,0,"Enemy is 1.84 meters ahead, angle 125.7 degrees, edge distance 1.92, center distance 0.71, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",tournament,1,turn_left_90+accelerate
1.58,-167.4,1.55,1.72,0,0,0,1,"Enemy is 1.58 meters ahead, angle -167.4 degrees, edge distance 1.55, center distance 1.72, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",simulation,5,turn_right_45
1.17,-42.5,0.89,4.98,0,0,0,0,"Enemy is 1.17 meters ahead, angle -42.5 degrees, edge distance 0.89, center distance 4.98, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",practice,1,turn_left_90+accelerate
2.31,158.3,1.53,2.62,1,1,0,1,"Enemy is 2.31 meters ahead, angle 158.3 degrees, edge distance 1.53, center distance 2.62, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",practice,3,turn_left_90+accelerate
0.95,-152.3,0.14,0.06,1,1,1,0,"Enemy is 0.95 meters ahead, angle -152.3 degrees, edge distance 0.14, center distance 0.06, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,4,turn_right_90+accelerate
0.31,-35.8,0.12,3.87,1,1,1,0,"Enemy is 0.31 meters ahead, angle -35.8 degrees, edge distance 0.12, center distance 3.87, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",practice,4,boost
1.44,95.7,0.3,3.67,1,0,0,0,"Enemy is 1.44 meters ahead, angle 95.7 degrees, edge distance 0.3, center distance 3.67, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,2,turn_right_15+accelerate
0.11,169.5,3.68,2.45,0,1,1,1,"Enemy is 0.11 meters ahead, angle 169.5 degrees, edge distance 3.68, center distance 2.45, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",tournament,2,turn_right_45+accelerate
0.88,19.8,0.44,3.23,1,1,0,0,"Enemy is 0.88 meters ahead, angle 19.8 degrees, edge distance 0.44, center distance 3.23, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",practice,5,turn_right_15
1.53,-14.4,0.82,1.13,0,0,1,0,"Enemy is 1.53 meters ahead, angle -14.4 degrees, edge distance 0.82, center distance 1.13, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",simulation,2,turn_left_45+dash+accelerate
1.88,-169.3,3.35,3.51,0,1,1,0,"Enemy is 1.88 meters ahead, angle -169.3 degrees, edge distance 3.35, center distance 3.51, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",tournament,5,turn_left_90+dash+accelerate
0.8,-75.8,1.48,0.84,1,1,0,0,"Enemy is 0.8 meters ahead, angle -75.8 degrees, edge distance 1.48, center distance 0.84, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",simulation,4,turn_right_15+accelerate
1.02,-47.5,3.35,0.5,1,0,0,1,"Enemy is 1.02 meters ahead, angle -47.5 degrees, edge distance 3.35, center distance 0.5, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",simulation,5,turn_left_45+accelerate
2.42,148.6,0.47,1.44,1,0,0,0,"Enemy is 2.42 meters ahead, angle 148.6 degrees, edge distance 0.47, center distance 1.44, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,2,turn_right_45+accelerate
0.96,179.4,3.19,3.14,0,1,0,0,"Enemy is 0.96 meters ahead, angle 179.4 degrees, edge distance 3.19, center distance 3.14, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,1,dash
1.67,17.8,0.96,0.14,1,0,1,1,"Enemy is 1.67 meters ahead, angle 17.8 degrees, edge distance 0.96, center distance 0.14, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",simulation,1,boost
0.83,-7.7,1.42,4.58,0,1,1,0,"Enemy is 0.83 meters ahead, angle -7.7 degrees, edge distance 1.42, center distance 4.58, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",simulation,4,turn_right_45
2.01,31.6,2.59,2.46,1,0,0,1,"Enemy is 2.01 meters ahead, angle 31.6 degrees, edge distance 2.59, center distance 2.46, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,1,turn_right_15+dash+accelerate
0.93,66.9,3.58,3.03,1,0,0,0,"Enemy is 0.93 meters ahead, angle 66.9 degrees, edge distance 3.58, center distance 3.03, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,4,turn_right_15+accelerate
0.87,56.3,0.33,2.35,0,1,0,0,"Enemy is 0.87 meters ahead, angle 56.3 degrees, edge distance 0.33, center distance 2.35, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,1,turn_right_45+accelerate
0.42,21.7,3.37,4.73,1,1,1,1,"Enemy is 0.42 meters ahead, angle 21.7 degrees, edge distance 3.37, center distance 4.73, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",practice,2,boost
0.78,-21.6,3.47,2.78,1,1,1,1,"Enemy is 0.78 meters ahead, angle -21.6 degrees, edge distance 3.47, center distance 2.78, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",simulation,4,boost
0.69,-0.0,1.36,3.76,0,0,0,0,"Enemy is 0.69 meters ahead, angle -0.0 degrees, edge distance 1.36, center distance 3.76, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",tournament,3,turn_left_15+accelerate
0.45,42.9,3.76,2.35,1,1,1,1,"Enemy is 0.45 meters ahead, angle 42.9 degrees, edge distance 3.76, center distance 2.35, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",tournament,1,turn_right_90+accelerate
2.16,-27.4,0.36,4.77,0,0,0,1,"Enemy is 2.16 meters ahead, angle -27.4 degrees, edge distance 0.36, center distance 4.77, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",tournament,1,turn_right_90+dash+accelerate
2.14,-47.9,4.08,4.27,1,0,1,0,"Enemy is 2.14 meters ahead, angle -47.9 degrees, edge distance 4.08, center distance 4.27, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",practice,5,turn_left_15+accelerate
1.99,113.4,3.48,1.07,1,0,0,0,"Enemy is 1.99 meters ahead, angle 113.4 degrees, edge distance 3.48, center distance 1.07, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",tournament,4,turn_left_45+accelerate
0.89,-168.2,2.91,0.64,0,1,1,0,"Enemy is 0.89 meters ahead, angle -168.2 degrees, edge distance 2.91, center distance 0.64, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",simulation,4,turn_right_45
0.44,19.0,3.81,1.67,0,0,0,1,"Enemy is 0.44 meters ahead, angle 19.0 degrees, edge distance 3.81, center distance 1.67, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",simulation,4,turn_left_15+dash+accelerate
2.11,139.8,1.36,1.04,0,0,1,1,"Enemy is 2.11 meters ahead, angle 139.8 degrees, edge distance 1.36, center distance 1.04, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",simulation,5,turn_right_45+accelerate
2.22,7.0,2.24,3.1,1,1,1,0,"Enemy is 2.22 meters ahead, angle 7.0 degrees, edge distance 2.24, center distance 3.1, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",simulation,3,boost
1.79,4.5,1.45,1.42,0,0,1,0,"Enemy is 1.79 meters ahead, angle 4.5 degrees, edge distance 1.45, center distance 1.42, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",simulation,2,dash
1.4,171.4,2.3,1.41,0,1,0,0,"Enemy is 1.4 meters ahead, angle 171.4 degrees, edge distance 2.3, center distance 1.41, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,2,turn_left_90+accelerate
1.88,-79.9,3.39,0.91,1,1,0,0,"Enemy is 1.88 meters ahead, angle -79.9 degrees, edge distance 3.39, center distance 0.91, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",practice,3,turn_right_15+accelerate
